country_code;region;subregion
FR;Alsace;Bas-Rhin
FR;Alsace;Haut-Rhin
FR;Beaujolais et Lyonnais;Crus du Beaujolais
FR;Beaujolais et Lyonnais;Beaujolais Villages
FR;Beaujolais et Lyonnais;Beaujolais
FR;Bourgogne;Chablis
FR;Bourgogne;Côte de Nuits
FR;Bourgogne;Côte de Beaune
FR;Bourgogne;Côte chalonnaise
FR;Bourgogne;Mâcon
FR;Corse;Corse
FR;Languedoc et Rousillon;Roussillon 
FR;Languedoc et Rousillon;Languedoc
FR;Sud-Ouest;Bergerac
FR;Sud-Ouest;Cahors
FR;Sud-Ouest;Aveyron
FR;Sud-Ouest;Marmande
FR;Sud-Ouest;Agen
FR;Sud-Ouest;Toulouse
FR;Sud-Ouest;Chalosse
FR;Sud-Ouest;Béarn
FR;Sud-Ouest;Pays Basque
FR;Vallée du Rhône;Rhône
FR;Bordeaux;Médoc
FR;Bordeaux;Graves
FR;Bordeaux;Entre-deux-Mers
FR;Bordeaux;Sauternes
FR;Bordeaux;Libourne
FR;Bordeaux;Blaye-Bourg
FR;Champagne;Montagne de Reims
FR;Champagne;Vallée de la Marne
FR;Champagne;Côte des Blancs
FR;Champagne;Côte des Bar
FR;Champagne;Côte de Sézanne
FR;Champagne;Vitry-le-François
FR;Jura;Côtes du Jura
FR;Jura;Arbois
FR;Lorraine;Meuse
FR;Lorraine;Moselle
FR;Lorraine;Toul
FR;Provence;Provence
FR;Savoie et Bugey;Savoie
FR;Savoie et Bugey;Bugey
FR;Vallée de la Loire;Nantes
FR;Vallée de la Loire;Anjou-Saumur
FR;Vallée de la Loire;Touraine
FR;Vallée de la Loire;Centre
FR;Vallée de la Loire;Auvergne
ES;Vallée de la Rioja;Rioja
CL;Vallée de Huasco;Atacama